id,labels,kind,simpleName
"CH.ifa.draw.framework.Handle.invokeEnd(int,int,CH.ifa.draw.framework.Drawing).dx",Variable,parameter,dx
CH.ifa.draw.figures.LineConnection.disconnectStart(),Operation,method,disconnectStart()
CH.ifa.draw.samples.net.NodeFigure.draw(java.awt.Graphics),Operation,method,draw(java.awt.Graphics)
CH.ifa.draw.standard.SelectAreaTracker.fSelectGroup,Variable,field,fSelectGroup
CH.ifa.draw.standard.StandardDrawingView.addForeground(CH.ifa.draw.framework.Painter),Operation,method,addForeground(CH.ifa.draw.framework.Painter)
"CH.ifa.draw.standard.SimpleUpdateStrategy.draw(java.awt.Graphics,CH.ifa.draw.framework.DrawingView).g",Variable,parameter,g
CH.ifa.draw.samples.pert.PertDependency.CH.ifa.draw.samples.pert.PertDependency(),Constructor,ctor,CH.ifa.draw.samples.pert.PertDependency()
"CH.ifa.draw.standard.AbstractHandle.invokeEnd(int,int,CH.ifa.draw.framework.Drawing).dx",Variable,parameter,dx
"CH.ifa.draw.util.PaletteLayout.addLayoutComponent(java.lang.String,java.awt.Component)",Operation,method,"addLayoutComponent(java.lang.String,java.awt.Component)"
CH.ifa.draw.figures.BorderDecorator,Structure,class,BorderDecorator
CH.ifa.draw.application.DrawApplication.fgDrawPath,Variable,field,fgDrawPath
